module,sourceLine,snippet
06-missions-profile-hud-inventory-tools.js,1416,"</div><div class=""modal-actions""><button class=""btn primary"" data-open-tools>Ferramentas</button>${inv.cookedFish>0?'<button class=""btn"" data-eat-cooked>Comer peixe assado</button>':''}</div>`,root=>{$('[data-open-tools]',root)?.addEventListener('click',openToolbelt);$('[data-eat-cooked]',root)?.addEventListener('click',()=>{if((state.inventory.cookedFish||0)<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);state.needs.energy=clamp(state.needs.energy+6,0,100);saveState(true);updateHUD();toast('Peixe assado consumido.','good');openInventory();});});"
06-missions-profile-hud-inventory-tools.js,1431,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0"
08-map-parent-settings.js,1697,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
08-map-parent-settings.js,1699,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
08-map-parent-settings.js,1704,"window.addEventListener('resize',refreshOpenMapAfterResize,{passive:true});window.addEventListener('orientationchange',refreshOpenMapAfterResize,{passive:true});"
08-map-parent-settings.js,1712,"$('[data-reset-confirm]',root).onclick=confirm;$('[data-reset-cancel]',root).onclick=()=>openParentTools(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();confirm();}};setTimeout(()=>input.focus(),80);"
08-map-parent-settings.js,1735,"$('[data-save-guardian]',root)?.addEventListener('click',async e=>{const btn=e.currentTarget;draft.sessionLimitMinutes=Math.max(0,Number(limit?.value||0));draft.multiplayerEnabled=true;draft.communicationEnabled=true;draft.chatEnabled=true;btn.disabled=true;btn.textContent='Salvando...';const saveGuardian=window.OTTHOS_RTDB?.saveGuardianSettings;const result=saveGuardian?await saveGuardian(draft):{ok:false,error:'Firebase ainda não está pronto.'};if(result?.ok===false||result===false){btn.disabled=false;btn.textContent='Salvar limite de tempo';toast(result?.error||'Não foi possível salvar. Confirme a senha novamente.','warn',3000);return;}const saved=result?.settings||result;state.guardian={"
08-map-parent-settings.js,1736,"$$('[data-unblock-player]',root).forEach(btn=>btn.onclick=async()=>{const result=await window.OTTHOS_RTDB?.unblockPlayer?.(btn.dataset.unblockPlayer);if(result?.ok===false||result===false){toast(result?.error||'Não foi possível desbloquear.','warn');return;}toast('Jogador desbloqueado.','good');openParentTools(inGame);});"
08-map-parent-settings.js,1737,"$('[data-parent-new-session]',root)?.addEventListener('click',()=>{state.usage={totalSeconds:0,sessionSeconds:0,sessionStartedAt:0,lastPlayedAt:0,sessionLockedAt:0,...(state.usage||{}),sessionSeconds:0,sessionStartedAt:Date.now(),sessionLockedAt:0};saveState(true);toast('Nova sessão liberada pelo responsável.','good',2400);openParentTools(inGame);});"
08-map-parent-settings.js,1738,"$('[data-parent-export]',root).onclick=()=>window.OTTHOS_DB?.exportFile(state);"
08-map-parent-settings.js,1739,"const fileInput=$('[data-parent-import-file]',root);$('[data-parent-import]',root).onclick=()=>fileInput.click();"
08-map-parent-settings.js,1740,"fileInput.onchange=async()=>{const file=fileInput.files?.[0];if(!file)return;try{const imported=normalizeState(await window.OTTHOS_DB.importFile(file));if(!(await confirmModal('Importar backup','O progresso atual deste aparelho será substituído pelo arquivo escolhido. Continuar?','Importar','Cancelar')))return;state=imported;await window.OTTHOS_DB.save(state);safeLocalSet(STORAGE_KEY,JSON.stringify(state));location.reload();}catch(error){toast(error.message||'Backup inválido.','bad');}};"
08-map-parent-settings.js,1741,"$('[data-parent-reset]',root).onclick=()=>openFinalResetConfirmation(inGame);$('[data-parent-back]',root).onclick=()=>openSettings(inGame);"
08-map-parent-settings.js,1748,"$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unlock();}};setTimeout(()=>input.focus(),80);"
08-map-parent-settings.js,1752,"openModal('Acesso de responsável',`<div class=""parent-gate""><span>🛡️</span><h3>Peça ajuda a um adulto</h3><p>Sem uma conta vinculada, esta verificação libera apenas progresso e backup local. Para controles online protegidos por senha, vincule a conta. Responda:</p><label class=""field""><span>Quanto é ${a} × ${b}?</span><input data-parent-answer inputmode=""numeric"" pattern=""[0-9]*"" maxlength=""3"" autocomplete=""off""></label><p data-parent-gate-error class=""account-error"" hidden>Resposta incorreta.</p><button class=""btn primary xl"" data-parent-unlock>Continuar</button><button class=""btn"" data-parent-cancel>Cancelar</button></div>`,root=>{const input=$('[data-parent-answer]',root),unlock=()=>{if(N"
08-map-parent-settings.js,1774,"$('[data-player-name-settings]',root)?.addEventListener('click',()=>openPlayerNameModal(false,()=>openSettings(inGame)));$('[data-account-settings]',root)?.addEventListener('click',()=>openAccountCenter(false));$('[data-multiplayer-config]',root)?.addEventListener('click',openMultiplayerConfig);"
08-map-parent-settings.js,1775,"$$('[data-toggle]', root).forEach(btn => btn.onclick = () => {"
08-map-parent-settings.js,1781,"$('[data-save-now]',root).onclick=async()=>{ if(running) savePlayerPosition(true); else await commitState(); toast('Progresso salvo no celular.','good'); closeModal(); };"
08-map-parent-settings.js,1782,"const install=$('[data-install]',root);if(install)install.onclick=installApp;"
08-map-parent-settings.js,1783,"const home = $('[data-home]', root); if (home) home.onclick = () => { closeModal(); returnHome(); };"
08-map-parent-settings.js,1784,"const exit = $('[data-exit]', root); if (exit) exit.onclick = () => { closeModal(); stopGame(); };"
08-map-parent-settings.js,1785,"$('[data-parent-area]',root).onclick=()=>openParentGate(inGame);"
08-map-parent-settings.js,1790,els.quizBtn.onclick = () => openEducationHub('math');
08-map-parent-settings.js,1791,els.challengePromptAccept.onclick=()=>{if(promptSocialRequestId)acceptIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)acceptIncomingChallenge(promptChallengeId);else if(promptSessionId){const s=gameSessions.get(promptSessionId);if(s)launchSessionWithCountdown(s);}};
08-map-parent-settings.js,1792,els.challengePromptDecline.onclick=()=>{if(promptSocialRequestId)declineIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)declineIncomingChallenge(promptChallengeId);else closeChallengePrompt();};
08-map-parent-settings.js,1793,els.collectionBtn.onclick = openCollection;
08-map-parent-settings.js,1794,els.avatarBtn.onclick = openAvatarStudio;
08-map-parent-settings.js,1795,els.accountBtn.onclick = () => openAccountCenter(false);
08-map-parent-settings.js,1796,els.moldsBtn.onclick = openMolds;
08-map-parent-settings.js,1797,els.howBtn.onclick = openHow;
08-map-parent-settings.js,1798,els.settingsBtn.onclick = () => openSettings(false);els.multiplayerBadge.onclick=openSocialHub;els.profileNameBtn.onclick=()=>openPlayerNameModal(false);
08-map-parent-settings.js,1799,els.avatarGameBtn.onclick = openLifePanel;
08-map-parent-settings.js,1800,els.inventoryBtn.onclick = openInventory;
08-map-parent-settings.js,1801,els.toolsBtn.onclick = openToolbelt;
08-map-parent-settings.js,1802,els.mapBtn.onclick = openMap;
08-map-parent-settings.js,1803,els.dailyBtn.onclick = () => openEducationHub('math');
08-map-parent-settings.js,1804,els.onlineBtn.onclick = openSocialHub;
08-map-parent-settings.js,1805,els.gameSettingsBtn.onclick = () => openSettings(true);
09-responsive-ar-quality-diagnostics.js,1815,els.quickToggleBtn.onclick = () => { state.ui.quickOpen = !state.ui.quickOpen;if(state.ui.quickOpen)state.ui.skillsOpen=false;syncMobilePanels();saveState(); };
09-responsive-ar-quality-diagnostics.js,1816,els.skillsToggleBtn.onclick=()=>{state.ui.skillsOpen=!state.ui.skillsOpen;if(state.ui.skillsOpen)state.ui.quickOpen=false;syncMobilePanels();saveState();};
09-responsive-ar-quality-diagnostics.js,1817,"els.needsToggleBtn.onclick = () => { state.ui.needsOpen = !state.ui.needsOpen; els.game.classList.toggle('needs-expanded', state.ui.needsOpen); saveState(); };"
09-responsive-ar-quality-diagnostics.js,1819,els.missionCard.onclick = toggleMission;
09-responsive-ar-quality-diagnostics.js,1821,"[els.avatarGameBtn,els.inventoryBtn,els.buildBtn,els.toolsBtn,els.mapBtn,els.dailyBtn,els.onlineBtn,els.gameSettingsBtn].forEach(btn => btn?.addEventListener('click', () => { state.ui.quickOpen=false; els.quickBar.hidden=true; els.quickToggleBtn.classList.remove('active'); }));"
09-responsive-ar-quality-diagnostics.js,1839,"els.nativeViewer.addEventListener('load', done, {once:true});"
09-responsive-ar-quality-diagnostics.js,1840,"els.nativeViewer.addEventListener('error', fail, {once:true});"
09-responsive-ar-quality-diagnostics.js,1881,"if (els.viewerLoadBtn) els.viewerLoadBtn.onclick = () => ensureModelViewerReady().catch(() => toast('Visualizador 3D indisponível agora.','warn',2400));"
09-responsive-ar-quality-diagnostics.js,1882,"if (els.insideArBtn) els.insideArBtn.addEventListener('click', event => {"
09-responsive-ar-quality-diagnostics.js,1888,els.arBtn.onclick = async () => {
09-responsive-ar-quality-diagnostics.js,2066,"if(technicalPanel)return technicalPanel;const style=document.createElement('style');style.id='otthosTechnicalPanelStyle';style.textContent='.otthos-tech-panel{position:fixed;z-index:100000;right:max(8px,env(safe-area-inset-right));top:max(8px,env(safe-area-inset-top));width:min(330px,calc(100vw - 16px));max-height:calc(100vh - 16px);overflow:auto;padding:12px;border:1px solid rgba(116,220,255,.65);border-radius:14px;background:rgba(4,13,25,.94);color:#eaf8ff;font:700 12px/1.45 ui-monospace,SFMono-Regular,Consolas,monospace;box-shadow:0 16px 45px rgba(0,0,0,.45);backdrop-filter:blur(10px)}.otthos-tech-panel[hidden]{display:none!important}.otthos-tech-panel header{display:flex;align-items:cent"
09-responsive-ar-quality-diagnostics.js,2071,"window.addEventListener('keydown',event=>{if(event.code==='F3'){event.preventDefault();toggleTechnicalPanel();}});"
09-responsive-ar-quality-diagnostics.js,2072,"document.querySelector('.brand-card')?.addEventListener('pointerup',()=>{technicalPanelTapCount++;clearTimeout(technicalPanelTapTimer);technicalPanelTapTimer=setTimeout(()=>technicalPanelTapCount=0,1400);if(technicalPanelTapCount>=5){technicalPanelTapCount=0;toggleTechnicalPanel();}});"
13a-sports-kart-v704.js,56,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
15-transit-bus-metro.js,3154,"openModal(station.name,`<div class=""transit-heading""><b>Ⓜ️ ${station.line}</b><span>Escolha qualquer ponto conhecido do mapa.</span></div><div class=""metro-destination-list"">${groups}</div>`,root=>{$$('[data-metro-destination]',root).forEach(btn=>btn.onclick=()=>{const destination=MAP_LOCATIONS.find(x=>x.id===btn.dataset.metroDestination);if(destination)rideMetroTo(station,destination);});});"
15-transit-bus-metro.js,3212,"$('[data-arrival-board]',root).onclick=()=>{clearBusWaiting(false);closeModal();enterBus(bus);};"
15-transit-bus-metro.js,3213,"$('[data-arrival-wait]',root).onclick=()=>{setBusWaiting(stop.id,world.waitingForBus?.routeId||'');closeModal();toast(`Você continua esperando na parada ${stop.name}.`,'good',1500);};"
15-transit-bus-metro.js,3214,"$('[data-arrival-cancel]',root).onclick=()=>{clearBusWaiting();closeModal();toast('Espera cancelada.','good',1200);};"
15-transit-bus-metro.js,3229,"$('[data-board-ready]',root)?.addEventListener('click',()=>{closeModal();openBusArrivalOffer(ready,stop);});"
15-transit-bus-metro.js,3230,"$$('[data-wait-route]',root).forEach(btn=>btn.onclick=()=>{const route=BUS_ROUTES.find(r=>r.id===btn.dataset.waitRoute);setBusWaiting(stop.id,btn.dataset.waitRoute);closeModal();toast(`Esperando a linha ${route?.number||''} ${route?.name||''}.`,'good',2100);});"
15-transit-bus-metro.js,3231,"$('[data-wait-any]',root).onclick=()=>{setBusWaiting(stop.id,'');closeModal();toast(`Esperando o próximo ônibus em ${stop.name}.`,'good',2100);};"
15-transit-bus-metro.js,3232,"$('[data-keep-wait]',root)?.addEventListener('click',()=>{setBusWaiting(stop.id,waiting?.routeId||'');closeModal();toast('Você continua esperando.','good',1200);});"
15-transit-bus-metro.js,3233,"$('[data-cancel-wait]',root).onclick=()=>{clearBusWaiting();closeModal();toast('Espera cancelada.','good',1200);};"
15-transit-bus-metro.js,3237,"if(transitPanel)return transitPanel;transitPanel=document.createElement('div');transitPanel.id='transitActivityPanel';transitPanel.className='transit-activity-panel';transitPanel.hidden=true;transitPanel.innerHTML='<div><b data-bus-line>Ônibus</b><span data-bus-next>Próxima parada</span></div><button type=""button"" data-bus-request>🔔<span>Pedir parada</span></button>';document.body.appendChild(transitPanel);transitPanel.querySelector('[data-bus-request]').onclick=()=>{if(player.transit.mode!=='bus')return;player.transit.requestStop=true;updateTransitPanel();toast('Parada solicitada.','good',1200);};return transitPanel;"
16-emergency-services.js,3432,"$$('[data-safety-answer]',root).forEach(button=>button.onclick=()=>{const correct=Number(button.dataset.safetyAnswer)===lesson.correct;state.safety.lessons=(state.safety.lessons||0)+1;if(correct){addXP(18);addReputation(3);awardMedal('Direção Segura');}saveState(true);closeModal();toast(correct?'Boa escolha! Segurança vem primeiro.':'Vamos lembrar: reduza, observe e cuide de todos.',correct?'good':'warn',2600);});"
16-emergency-services.js,3493,"openModal('Rede de transporte',`<div class=""transport-summary""><article><b>${state.transport.metroTrips||0}</b><span>viagens de metrô</span></article><article><b>${state.transport.busTrips||0}</b><span>viagens de ônibus</span></article><article><b>${state.transport.busStops.length}</b><span>paradas visitadas</span></article></div><h3>Estações de metrô</h3><div class=""transit-directory"">${METRO_STATIONS.map(s=>`<button data-transit-waypoint=""metro-${s.id}""><b>Ⓜ️ ${s.name}</b><span>${s.line}</span></button>`).join('')}</div><h3>Linhas de ônibus</h3><div class=""transit-directory"">${BUS_ROUTES.map(r=>`<article><b>🚌 ${r.number} • ${r.name}</b><span>${[...new Set(r.points.filter(p=>p.stopName).map"
17-adventures-learning-world.js,3527,"const active=world.activeChallenge,completed=new Set(state.adventures.completed||[]);openModal('Desafios da cidade',`${active?`<div class=""active-adventure""><b>${ADVENTURE_DEFS[active.type]?.icon} Em andamento: ${ADVENTURE_DEFS[active.type]?.name}</b><span>${active.progress.size}/${active.target}</span></div>`:''}<div class=""adventure-grid"">${Object.entries(ADVENTURE_DEFS).map(([id,d])=>`<button class=""adventure-card ${completed.has(id)?'completed':''}"" data-adventure=""${id}"" ${active?'disabled':''}><span>${d.icon}</span><b>${d.name}</b><small>${d.description}</small><em>${completed.has(id)?'✓ Concluído':`${d.reward} moedas • ${d.xp} XP`}</em></button>`).join('')}</div>`,root=>{$$('[data-adv"
18-water-fishing-boats.js,3671,"if(boatPanel)return boatPanel;boatPanel=document.createElement('div');boatPanel.id='boatActivityPanel';boatPanel.className='boat-activity-panel';boatPanel.innerHTML='<button type=""button"" data-boat-fish>🎣<span>Pescar</span></button><button type=""button"" data-boat-exit>🏝️<span>Sair</span></button>';document.body.appendChild(boatPanel);boatPanel.querySelector('[data-boat-fish]').onclick=()=>startFishing('boat');boatPanel.querySelector('[data-boat-exit]').onclick=()=>exitBoat();return boatPanel;"
18-water-fishing-boats.js,3713,"cast.onclick=()=>{if(!fishingSession||fishingSession.token!==token)return;cast.disabled=true;state.inventory.bait--;state.fishing.lastAttempt=Date.now();saveState(true);status.textContent='🎣 Aguarde…';meter.style.animation='fishingWait 2.4s linear forwards';castFishingVisual();const hookDelay=1400+Math.random()*1700;fishingSession.hookTimer=setTimeout(()=>{if(!fishingSession||fishingSession.token!==token||els.modal.hidden){cancelFishingSession();return;}status.textContent='⚡ Fisgou!';pull.hidden=false;hookFishingVisual();beep(880,100,'sine');vibrate([35,35,55]);fishingSession.hookedAt=performance.now();fishingSession.escapeTimer=setTimeout(()=>{if(!fishingSession||fishingSession.token!==toke"
18-water-fishing-boats.js,3714,"pull.onclick=()=>{if(!fishingSession||fishingSession.token!==token)return;clearTimeout(fishingSession.escapeTimer);const reaction=performance.now()-Number(fishingSession.hookedAt||performance.now()),success=reaction<2400&&Math.random()<.88;pull.hidden=true;if(!success){status.textContent='💨 Escapou';pullFishingVisual(false);saveState();fishingSession.finishTimer=setTimeout(()=>{if(fishingSession?.token===token)fishingSession=null;stopFishingVisual();},800);return;}const fish=weightedFish(),size=+(fish.min+Math.random()*(fish.max-fish.min)).toFixed(2),catchId=uid();state.inventory.rawFish=(state.inventory.rawFish||0)+1;state.fishing.catches.push({id:catchId,species:fish.name,size,rarity:fish."
19-campfire-hunting-house-extensions.js,3727,"$('[data-sit]',root).onclick=()=>{player.sitUntil=performance.now()+4500;state.needs.fun=clamp(state.needs.fun+8,0,100);closeModal();toast('Você descansou perto da fogueira.','good');};$('[data-eat]',root).onclick=()=>{if(state.inventory.cookedFish<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);saveState(true);updateHUD();openCampfire(id);};$('[data-cook]',root).onclick=async()=>{if(!mine||data.cooking||state.inventory.rawFish<1)return;if(!(await confirmModal('Assar peixe','Usar 1 peixe cru nesta fogueira?','Assar','Cancelar')))return;state.inventory.rawFish--;const cookingId=uid();data.cooking={id:cookingId,startedAt:Date.now(),endsAt:Date.now()+"
19-campfire-hunting-house-extensions.js,3730,"function openCampfireZone(){const c=nearestActiveCampfire(8);if(c)openCampfire(c.data.id);else openModal('Acampamento','<p>Esta é uma área segura para montar fogueira. Ela usa madeira real do inventário e apaga automaticamente.</p><div class=""modal-actions""><button class=""btn primary"" data-build-fire>Construir fogueira</button></div>',root=>$('[data-build-fire]',root).onclick=()=>{closeModal();buildCampfire();});}"
19-campfire-hunting-house-extensions.js,3733,"function startHunting(options={}){const cooldown=Math.max(0,20000-(Date.now()-Number(state.hunting.lastAttempt||0)));if(cooldown>0){toast(`A floresta precisa descansar por ${Math.ceil(cooldown/1000)} s.`,'warn');return;}if((()=>{const p=worldLayoutPoint('hunt',{x:-101,z:-78});return Math.hypot(player.x-p.x,player.z-p.z)>28;})()){toast('Siga as pegadas até a área de rastreamento.','warn');return;}state.hunting.lastAttempt=Date.now();state.hunting.tracksFound++;const trail=['Pegadas perto das pedras','Galhos mexidos à esquerda','Folhas amassadas perto da árvore'],correct=Math.floor(Math.random()*3);openModal(options.cooperative?'Rastreamento com amigo':'Rastreamento na floresta',`<div class=""a"
19-campfire-hunting-house-extensions.js,3785,"function openFurniturePlacement(extensionId,type,existingId=''){const record=world.houseExtensions.find(item=>item.data.id===extensionId);if(!record||record.data.remote){toast('Somente o dono pode mobiliar este cômodo.','warn');return;}const existing=(state.roomFurniture||[]).find(item=>item.id===existingId),spec=furnitureSpec(type||existing?.type,record.data.type);if(!spec)return;const first=existing?{...existing}:{id:'',extensionId,type:spec.id,slotIndex:-1,x:0,z:0,rotation:0,createdAt:Date.now()};furnitureDraft=existing?first:nextFurnitureSlot(record,first,1);renderFurniturePreview(record);const refresh=root=>{const valid=renderFurniturePreview(record),status=$('[data-furniture-status]',r"
